,text,star,hp_data,city,transformed_date,product_num,state
46,Average Performance.... cooling Condition is not Sufficient in HC Position,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Vayalar,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Vayalar
47,"AC is good but installation was very poor, charged extra for outdoor unit installation, no cover taping on pipe they did like free fund job. They didn't even carried their foldable steps. Really pathetic. 3rd class installation, installed without outdoor unit side cover.",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Araria,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Araria
48,Product is not working properly,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Moradabad,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Moradabad
49,Cooling is very low,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Amritsar,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Amritsar
50,Don't buy wastage of money it do nor provide cooling in the recommended size room. Pls don't buy it .,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Bhogpur,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Bhogpur
51,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Lunkaransar,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Lunkaransar
52,It is very expensive in this amount,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Lormi,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Lormi
53,Avoid buying,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Amritsar,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Amritsar
54,Waste product from LG . Customer service is very bad. Cooling is zero I raised complaint even after the cooling is not good . Done buy this product from LG,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Hyderabad,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Hyderabad
55,Getting switched off automatically after 30+ minutes and water leaking problem.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Indore,"May, 2024","TS-Q18JNXE3, Copper Condenser",Indore
56,Ac is not cooling properly.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Yamunanagar,"May, 2024","TS-Q18JNXE3, Copper Condenser",Yamunanagar
57,Water leaking from the indoor unit after use of one month was a very bad experience .. waste of money,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Berhampur,"May, 2024","TS-Q18JNXE3, Copper Condenser",Berhampur
58,"Worse than a ceiling fan ,no cooling nothing ...dabba",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Zirakpur,"May, 2024","TS-Q18JNXE3, Copper Condenser",Zirakpur
59,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Jaipur,"May, 2024","TS-Q18JNXE3, Copper Condenser",Jaipur
